dataset,model,label,method,agg,accuracy,ece,auroc,sel_acc_0.8,coverage_0.8,n_traj
GSM8K,8B,GSM8K — 8B,StepCoCoA,min,0.6360,0.1599,0.7470,0.9459,0.1480,250
GSM8K,8B,GSM8K — 8B,StepCoCoA,mean,0.6360,0.2176,0.7149,0.6923,0.7800,250
GSM8K,8B,GSM8K — 8B,BranchConsistency,min,0.6360,0.2131,0.7275,1.0000,0.0760,250
GSM8K,8B,GSM8K — 8B,BranchConsistency,mean,0.6360,0.1538,0.7277,0.7984,0.5160,250
GSM8K,8B,GSM8K — 8B,MSP-Answer,answer,0.6360,0.2986,0.6659,0.6766,0.9400,250
GSM8K,8B,GSM8K — 8B,CoCoA-Answer,answer,0.6360,0.3344,0.6664,0.6490,0.9800,250
GSM8K,70B,GSM8K — 70B,StepCoCoA,min,0.8520,0.3136,0.6941,0.9444,0.2880,250
GSM8K,70B,GSM8K — 70B,StepCoCoA,mean,0.8520,0.0492,0.6728,0.8976,0.8200,250
GSM8K,70B,GSM8K — 70B,BranchConsistency,min,0.8520,0.2576,0.7080,0.9559,0.2720,250
GSM8K,70B,GSM8K — 70B,BranchConsistency,mean,0.8520,0.0229,0.7113,0.8950,0.8000,250
GSM8K,70B,GSM8K — 70B,MSP-Answer,answer,0.8520,0.1277,0.6384,0.8787,0.9560,250
GSM8K,70B,GSM8K — 70B,CoCoA-Answer,answer,0.8520,0.1322,0.6920,0.8659,0.9840,250
AgentBench-DB,8B,AgentBench-DB — 8B,StepCoCoA,min,0.5111,0.3525,0.6630,0.5909,0.6111,180
AgentBench-DB,8B,AgentBench-DB — 8B,StepCoCoA,mean,0.5111,0.4242,0.6639,0.5192,0.8667,180
AgentBench-DB,8B,AgentBench-DB — 8B,BranchConsistency,min,0.5111,0.1722,0.6922,0.7241,0.3222,180
AgentBench-DB,8B,AgentBench-DB — 8B,BranchConsistency,mean,0.5111,0.2859,0.6950,0.6364,0.5500,180
AgentBench-DB,8B,AgentBench-DB — 8B,MSP-Answer,answer,0.5111,0.3793,0.6860,0.5867,0.8333,180
AgentBench-DB,8B,AgentBench-DB — 8B,CoCoA-Answer,answer,0.5111,0.4641,0.6859,0.5257,0.9722,180
AgentBench-DB,70B,AgentBench-DB — 70B,StepCoCoA,min,0.6556,0.2562,0.7346,0.7246,0.7667,180
AgentBench-DB,70B,AgentBench-DB — 70B,StepCoCoA,mean,0.6556,0.3027,0.7408,0.6864,0.9389,180
AgentBench-DB,70B,AgentBench-DB — 70B,BranchConsistency,min,0.6556,0.0883,0.7470,0.8391,0.4833,180
AgentBench-DB,70B,AgentBench-DB — 70B,BranchConsistency,mean,0.6556,0.2012,0.7578,0.7626,0.7722,180
AgentBench-DB,70B,AgentBench-DB — 70B,MSP-Answer,answer,0.6556,0.2714,0.6398,0.7162,0.8222,180
AgentBench-DB,70B,AgentBench-DB — 70B,CoCoA-Answer,answer,0.6556,0.3419,0.6423,0.6556,1.0000,180
HotpotQA,8B,HotpotQA — 8B,StepCoCoA,min,0.5280,0.1048,0.6954,0.8125,0.1280,250
HotpotQA,8B,HotpotQA — 8B,StepCoCoA,mean,0.5280,0.1865,0.6886,0.7125,0.3200,250
HotpotQA,8B,HotpotQA — 8B,BranchConsistency,min,0.5280,0.1393,0.7074,0.6250,0.0320,250
HotpotQA,8B,HotpotQA — 8B,BranchConsistency,mean,0.5280,0.1044,0.6678,0.7241,0.1160,250
HotpotQA,8B,HotpotQA — 8B,MSP-Answer,answer,0.5280,0.1334,0.6710,0.7193,0.2280,250
HotpotQA,8B,HotpotQA — 8B,CoCoA-Answer,answer,0.5280,0.2561,0.6893,0.6794,0.5240,250
HotpotQA,70B,HotpotQA — 70B,StepCoCoA,min,0.6640,0.1038,0.7352,0.8590,0.3120,250
HotpotQA,70B,HotpotQA — 70B,StepCoCoA,mean,0.6640,0.1137,0.7472,0.8387,0.4960,250
HotpotQA,70B,HotpotQA — 70B,BranchConsistency,min,0.6640,0.1275,0.7440,0.8485,0.1320,250
HotpotQA,70B,HotpotQA — 70B,BranchConsistency,mean,0.6640,0.0737,0.6902,0.8684,0.3040,250
HotpotQA,70B,HotpotQA — 70B,MSP-Answer,answer,0.6640,0.0915,0.7411,0.8608,0.3160,250
HotpotQA,70B,HotpotQA — 70B,CoCoA-Answer,answer,0.6640,0.1379,0.7189,0.7727,0.6160,250
